SETTINGS_CUSTOMTAGS_BTNEDIT,"{""message"": ""แก้ไข...""}"
SETTINGS_CUSTOMTAGS_BTNDELETE,"{""message"": ""ลบ...""}"
SETTINGS_CUSTOMTAGS_MOVEUP,"{""message"": ""เลื่อนขึ้น""}"
SETTINGS_CUSTOMTAGS_MOVEDOWN,"{""message"": ""เลื่อนลง""}"
SETTINGS_CUSTOMTAGS_SORTALPHA,"{""message"": ""Sort alphabetically""}"
SETTINGS_CUSTOMTAGS_MOREINFO,"{""message"": ""ข้อมูลและตัวอย่างเพิ่มเติม""}"
SETTINGS_CUSTOMTAGS_VARIABLES,"{""message"": ""ตัวแปรที่ใช้งานได้""}"
SETTINGS_CUSTOMTAGS_VARCLIPBOARD,"{""message"": ""เนื้อหาคลิปบอร์ด""}"
SETTINGS_CUSTOMTAGS_VARSELECTION,"{""message"": ""ข้อความที่เลือก""}"
SETTINGS_CUSTOMTAGS_LABEL,"{""message"": ""ชื่อวัตถุ:""}"
SETTINGS_CUSTOMTAGS_ACTION,"{""message"": ""โค้ด:""}"
SAVE_TAG_ORDER,"{""message"": ""Save Tag Order""}"
ENTER_COLOR_HEX,"{""message"": ""ENTER FONT COLOR IN HEX""}"
